type,name,median_tau_score,description,ts_pc,belongs_to,id,pc,target
CP,dydrogesterone,65.11,progesterone receptor agonist,"0.98, 0.32",,BRD-K68620903,"10.00, 0.00",PGR
CP,theophylline,65.02,"adenosine receptor antagonist, chitinase inhibitor, GABA receptor antagonist, phosphodiesterase inhibitor","1.84, 0.49",,BRD-K97799481,"11.11, 11.11","ADORA1, ADORA2A, ADORA2B, ADORA3, CHIA, CYP2E1, CYP3A4, HDAC2, PDE3A, PDE4A, PDE4B, PDE5A"
CP,irilin-a,64.89,isoflavone,"0.70, 0.23",,BRD-K92678294,"20.00, 10.00",
CP,tamibarotene,64.88,"retinoid receptor agonist, RAR agonist","0.98, 0.31",Retinoid receptor agonist,BRD-K36627727,"10.00, 10.00","RARA, RARB"
CP,hydrocortisone,64.66,"corticosteroid agonist, glucocorticoid receptor agonist, immunosuppressant, interleukin receptor antagonist","1.36, 0.50",,BRD-K93568044,"0.00, 0.00","ANXA1, NOS2, NR3C1, NR3C2"
CP,BI-2536,64.58,"PLK inhibitor, apoptosis stimulant, cell cycle inhibitor, protein kinase inhibitor","1.49, 0.56",Bromodomain Inhibitor,BRD-K64890080,"20.00, 10.00","PLK1, BRD4, PLK2, PLK3"
CP,rifampicin,64.52,"DNA directed RNA polymerase inhibitor, enzyme inducer","1.26, 0.34",,BRD-A83892713,"0.00, 0.00","NR1I2, ABCB1, CYP2B6, CYP2C19, CYP2C8, CYP3A4, CYP3A5, SLCO1A2, SLCO1B1, SLCO1B3"
CP,sulfinpyrazone,-68.75,platelet aggregation inhibitor,"0.36, 0.06",,BRD-A36217750,"0.00, 0.00","ABCC1, ABCC2, FPR1, SLC22A12"
CP,CAY-10618,-68.76,"NAMPT inhibitor, niacinamide phosphoribosyltransferase inhibitor","1.57, 0.45",,BRD-K83289131,"0.00, 0.00",NAMPT
CP,niacin,-68.76,vitamin agonist,"1.23, 0.31",,BRD-K61993165,"0.00, 0.00","HCAR2, HCAR3, ACHE, DGAT2, HCAR1, NNMT, PTGDR, QPRT"
CP,BMY-45778,-68.84,IP1 prostacyclin receptor agonist,"1.58, 0.56",,BRD-K84895041,"11.11, 11.11",PTGIR
CP,quipazine,-68.84,serotonin receptor agonist,"0.84, 0.26",,BRD-K77925998,"0.00, 0.00","HTR2A, HTR3A, HTR3B, HTR1A, HTR1D, HTR2B, HTR2C, HTR6, SLC6A4"
CP,nomegestrol,-68.99,progesterone receptor agonist,"1.19, 0.25",Progesterone receptor agonist,BRD-K27351809,"0.00, 0.00",PGR
CP,hydrastine,-69.04,GABA receptor antagonist,"1.48, 0.45",,BRD-K02715688,"0.00, 0.00",
CP,LE-135,-69.05,retinoid receptor agonist,"0.53, 0.05",,BRD-K06593056,"0.00, 0.00",RARB
CP,coumarin,-69.06,vitamin antagonist,"0.68, 0.25",,BRD-K23913458,"0.00, 0.00","CA1, CA12, CA14, CA2, CA4, CA6, CA9, CYP2A6"
CP,reserpine,-69.11,vesicular monoamine transporter inhibitor,"1.59, 0.30",,BRD-K95921201,"0.00, 0.00","SLC18A2, SLC18A1"
CP,LY-294002,64.5,"PI3K inhibitor, mTOR inhibitor, DNA dependent protein kinase inhibitor, phosphodiesterase inhibitor, PLK inhibitor","1.16, 0.51","Bromodomain Inhibitor, MTOR inhibitor, PI3K inhibitor",BRD-K27305650,"0.00, 0.00","MTOR, PIK3CD, PIK3CG, PIK3CA, PIK3CB, PLK1, PRKDC, AKT1, CHEK1, GSK3B, LCK, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PDE2A, PRKCA, ROCK1, RPS6KB1, SGK1"
CP,depomedrol,64.43,glucocorticoid receptor agonist,"1.47, 0.75",Glucocorticoid receptor agonist,BRD-K94070024,"11.11, 0.00",
CP,ZSTK-474,64.42,PI3K inhibitor,"1.91, 0.60",PI3K inhibitor,BRD-K63068307,"0.00, 0.00","PIK3CG, PIK3CA, PIK3CB, PIK3CD"
CP,diethylstilbestrol,64.29,"estrogen receptor agonist, chloride channel blocker","0.41, 0.31",Estrogen receptor agonist,BRD-K45330754,"20.00, 0.00","ESR1, ESR2, ESRRG, ESRRB"
CP,dibutyrylcyclic-gmp,64.26,cGMP analog,"0.98, 0.30",,BRD-A06726973,"10.00, 0.00",
CP,lysergol,64.22,ergoline alkaloid,"1.22, 0.39",,BRD-K27871032,"0.00, 0.00","HTR1B, HTR1D, HTR1E"
CP,meclocycline,64.08,tetracycline antibiotic,"0.55, 0.11",Bacterial 30S ribosomal subunit inhibitor,BRD-A45140972,"0.00, 0.00",
CP,bumetanide,64,"diuretic, solute carrier family member inhibitor","1.00, 0.23",,BRD-K38197229,"0.00, 0.00","SLC12A1, SLC12A2, CFTR, GPR35, SLC12A4, SLC12A5"
CP,ecopipam,63.92,dopamine receptor antagonist,"0.76, 0.11",,BRD-K94270326,"20.00, 10.00","DRD1, DRD5, DRD2"
CP,nicardipine,63.79,"calcium channel blocker, L-type calcium channel blocker","0.55, 0.06",,BRD-A26711594,"0.00, 0.00","CACNA1C, ADORA3, ADRA1A, ADRA1B, ADRA1D, CACNA1D, CACNA2D1, CACNB2, CALM1, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, PDE1A, PDE1B"
CP,U-0126,-67.91,"MEK inhibitor, JAK inhibitor, MAP kinase inhibitor","1.06, 0.43",MEK inhibitor,BRD-K18787491,"0.00, 0.00","AKT1, CHEK1, GSK3B, JAK2, LCK, MAP2K1, MAP2K2, MAP2K7, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1"
CP,HDAC1-selective,-67.95,HDAC inhibitor,"0.35, 0.22",,BRD-K85133207,"11.11, 11.11",
CP,pirlindole,-68.29,monoamine oxidase inhibitor,"0.98, 0.24",,BRD-A54490543,"0.00, 0.00","MAOA, SLC6A2, SLC6A4"
CP,BRD-K30351863,-68.3,APEX inhibitor,"1.64, 0.51",,BRD-K30351863,"0.00, 0.00",APEX1
CP,floxuridine,-68.48,"DNA synthesis inhibitor, MDCK inhibitor, PEPT1 inhibitor, pyrimidine antagonist","1.30, 0.31",,BRD-K47832606,"0.00, 0.00",TYMS
CP,PSB-11,-68.49,adenosine receptor antagonist,"1.27, 0.49",,BRD-K10177585,"0.00, 0.00","ADORA3, ADORA1, ADORA2A"
CP,raltegravir,-68.5,HIV integrase inhibitor,"0.99, 0.31",,BRD-K05658747,"0.00, 0.00",
CP,norethindrone,-68.58,"ovulation inhibitor, progesterone receptor agonist","1.01, 0.34",Progesterone receptor agonist,BRD-K96037667,"11.11, 11.11",PGR
CP,tadalafil,-68.64,phosphodiesterase inhibitor,"0.43, 0.08",,BRD-K93645900,"20.00, 20.00","PDE5A, PDE11A"
CP,PD-0325901,-68.72,"MEK inhibitor, MAP kinase inhibitor, protein kinase inhibitor","1.34, 0.64",MEK inhibitor,BRD-K49865102,"0.00, 0.00","MAP2K1, MAP2K2"
CP,bisoprolol,63.77,adrenergic receptor antagonist,"0.41, 0.05",,BRD-A89175223,"10.00, 10.00","ADRB1, ADRB2"
CP,xaliproden,63.66,"serotonin receptor agonist, nerve growth factor agonist, neurotrophic factor enhancer","0.72, 0.27",,BRD-K88358234,"10.00, 10.00",HTR1A
CP,phorbol-12-myristate-13-acetate,63.64,"PKC activator, CD antagonist","2.48, 0.49",PKC activator,BRD-A15079084,"0.00, 0.00","CD4, KCNT2, PRKCA, TRPV4"
CP,docetaxel,63.61,"tubulin inhibitor, microtubule depolymerization inhibitor, microtubule stabilizing agent, microtubule stimulant, taxane","1.02, 0.39",Tubulin inhibitor,BRD-K63265447,"12.50, 12.50","TUBB, BCL2, MAP2, MAP4, MAPT, NR1I2, TUBB1"
CP,nalbuphine,63.53,"opioid receptor agonist, opioid receptor antagonist","1.23, 0.38",,BRD-K66404838,"44.44, 22.22","OPRD1, OPRK1, OPRM1"
CP,elvitegravir,63.31,"HIV integrase inhibitor, HIV inhibitor","1.10, 0.33",,BRD-K54472332,"10.00, 10.00",
CP,tetrahydrocannabinol-7-oic-acid,63.29,"analgesic, anti-inflammatory","1.08, 0.25",,BRD-A42831637,"11.11, 0.00",
CP,KU-C103885,63.26,cystic fibrosis transmembrane conductance regulator inhibitor,"1.35, 0.26",,BRD-K36153907,"11.11, 11.11",
CP,gatifloxacin,63.23,"topoisomerase inhibitor, DNA gyrase inhibitor","1.95, 0.56",Bacterial DNA gyrase inhibitor,BRD-A74980173,"0.00, 0.00",
CP,EMD-66684,63.23,angiotensin receptor antagonist,"1.19, 0.43",,BRD-K88759641,"10.00, 10.00",AGTR1
CP,FR-122047,-67.22,cyclooxygenase inhibitor,"0.48, 0.23",,BRD-K30990140,"10.00, 10.00",
CP,eugenitol,-67.43,"androgen receptor (AR) inhibitor, free radical scavenger, monoamine oxidase inhibitor, quorum sensing signaling modulator","1.18, 0.30",,BRD-K46068882,"0.00, 0.00","AR, MAOA"
CP,vecuronium,-67.44,acetylcholine receptor antagonist,"0.75, 0.28",,BRD-K61341215,"0.00, 0.00",CHRNA2
CP,moxonidine,-67.47,"imidazoline receptor agonist, adrenergic receptor agonist","0.56, 0.11",,BRD-K77771411,"10.00, 10.00","NISCH, ADRA2A, ADRA2B, ADRA2C"
CP,OM-137,-67.47,Aurora kinase inhibitor,"0.95, 0.15",Aurora kinase inhibitor,BRD-K21971034,"0.00, 0.00",
CP,pioglitazone,-67.49,"PPAR receptor agonist, insulin sensitizer, adiponectin expression enhancer, thiazolidinedione","0.41, 0.10",PPAR receptor agonist,BRD-A48430263,"10.00, 10.00","PPARG, INS, TRPM3"
CP,RITA,-67.58,"MDM inhibitor, thioredoxin reductase inhibitor","0.65, 0.14",MDM inhibitor,BRD-K00317371,"0.00, 0.00","MDM2, TXNRD1, TXNRD2"
CP,chloroquine,-67.64,antimalarial agent,"0.83, 0.11",,BRD-A91699651,"0.00, 0.00","CYP2C8, GSTA2, MRGPRX1, TLR9, TNF"
CP,periplocymarin,-67.88,apoptosis inducer,"2.74, 0.73",,BRD-A45333398,"0.00, 0.00",
CP,ifenprodil,-67.9,"adrenergic receptor antagonist, glutamate receptor antagonist","0.90, 0.16",,BRD-A24191444,"0.00, 0.00","GRIN1, GRIN2B"
CP,tetrindole,63.14,monoamine oxidase inhibitor,"1.74, 0.63",,BRD-A52660433,"11.11, 0.00",MAOA
CP,amperozide,63.1,"dopamine receptor antagonist, FAAH inhibitor, serotonin receptor antagonist","0.45, 0.09",,BRD-K52397688,"10.00, 0.00","HTR2A, DRD2, FAAH"
CP,hinokitiol,63.05,tyrosinase inhibitor,"1.36, 0.45",,BRD-K37691127,"0.00, 0.00",TYR
CP,cytochalasin-d,63,"actin polymerization inhibitor, actin stabilizer","1.82, 0.44",,BRD-K25504083,"0.00, 0.00",ACTB
CP,sulmazole,62.98,"calcium sensitizer, phosphodiesterase inhibitor","0.52, 0.11",,BRD-A41722204,"10.00, 10.00",
CP,bepridil,62.86,"calcium channel blocker, L-type calcium channel blocker","0.27, 0.05",,BRD-A91008255,"10.00, 10.00","ATP1A1, CACNA1A, CACNA1C, CACNA1H, CACNA2D2, CALM1, KCNQ1, KCNQ4, PDE1A, PDE1B, SCN5A, TNNC1"
CP,EBPC,62.86,aldose reductase inhibitor,"0.77, 0.24",,BRD-A96485169,"0.00, 0.00",AKR1B1
CP,"2',5'-dideoxyadenosine",62.84,adenylyl cyclase inhibitor,"1.40, 0.35",,BRD-A20131130,"0.00, 0.00",
CP,trazodone,62.74,"adrenergic receptor antagonist, serotonin receptor antagonist, serotonin reuptake inhibitor, histamine receptor antagonist, serotonin uptake inhibitor","0.77, 0.15",,BRD-K70778732,"10.00, 10.00","HTR2A, HTR2C, SLC6A4, ADRA1A, ADRA2A, HRH1, HTR1A, HTR2B"
CP,1-monopalmitin,62.7,P glycoprotein inhibitor,"1.44, 0.56",,BRD-A80928489,"0.00, 0.00",ABCB1
CP,cercosporin,-66.3,"photoactivated to produce toxic reactive oxygen species, PKC inhibitor","2.96, 0.78",,BRD-A78360835,"0.00, 0.00",
CP,mepyramine,-66.38,histamine receptor antagonist,"0.50, 0.14",,BRD-K97564742,"0.00, 0.00",HRH1
CP,PTB1,-66.55,"AMPK activator, tyrosine phosphatase inhibitor","0.93, 0.32",,BRD-K16554956,"0.00, 0.00",PTPN1
CP,sunitinib,-66.69,"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor, angiogenesis inhibitor, colony stimulating factor receptor antagonist, colony stimulating factor receptor inhibitor, platelet-derived growth factor receptor (PDGFR) inhibitor, vascular endothelial growth factor receptor (VEGFR) inhibitor, vascular endothelial growth factor receptor 1 (VEGFR1) inhibitor, vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor, VEGFR antagonist","1.50, 0.52","FLT3 inhibitor, PDGFR/KIT inhibitor, RAF inhibitor, VEGFR inhibitor",BRD-M64432851,"10.00, 10.00","FLT3, KDR, KIT, FLT4, FLT1, PDGFRA, PDGFRB, RET, CSF1R, FGFR1"
CP,BRD-K13872703,-66.78,"chlorine/bicarbinate exchanger inhibitor, purinergic receptor antagonist","1.48, 0.40",,BRD-K13872703,"16.67, 0.00","ANO1, CLCN6, CLCN7, CLCNKA, CLCNKB, P2RY2"
CP,bendroflumethiazide,-66.85,"sodium/potassium/chloride transporter inhibitor, thiazide diuretic","0.55, 0.09",,BRD-A80017228,"0.00, 0.00","SLC12A3, CA1, CA2, CA4, KCNMA1, SLC12A1"
CP,noreleagnine,-66.96,"imidazoline receptor ligand, serotonin receptor ligand","1.11, 0.23",,BRD-K32696739,"10.00, 0.00","ADRA2A, ADRA2B, ADRA2C, HTR2A, MAOA, MAOB"
CP,alrestatin,-67.14,aldose reductase inhibitor,"1.06, 0.25",,BRD-K35498378,"0.00, 0.00",AKR1B1
CP,metixene,-67.17,acetylcholine receptor antagonist,"0.91, 0.25",,BRD-A33711280,"11.11, 0.00","CHRM5, CHRM1, CHRM2, CHRM3, CHRM4"
CP,amsacrine,-67.21,"topoisomerase inhibitor, DNA intercalating drug","2.77, 0.68",Topoisomerase inhibitor,BRD-K98490050,"0.00, 0.00","TOP2A, KCNH2"
CP,HLI-373,62.67,MDM inhibitor,"0.85, 0.25",MDM inhibitor,BRD-K17349619,"20.00, 20.00",MDM2
CP,KIN001-127,62.57,ITK inhibitor,"1.63, 0.50",,BRD-A29901043,"0.00, 0.00",ITK
CP,ZM-447439,62.53,Aurora kinase inhibitor,"0.55, 0.18",Aurora kinase inhibitor,BRD-K72703948,"10.00, 10.00","AURKA, AURKB"
CP,N6-cyclopentyladenosine,62.47,adenosine receptor agonist,"1.27, 0.39",Adenosine receptor agonist,BRD-A85234536,"0.00, 0.00","ADORA1, ADORA2A, ADORA2B, ADORA3, SLC29A1"
CP,ropivacaine,62.44,"membrane integrity inhibitor, potassium channel antagonist, sodium channel blocker","1.15, 0.35",,BRD-K50938786,"0.00, 0.00","SCN10A, SCN9A"
CP,arecaidine,62.35,acetylcholine receptor agonist,"0.78, 0.23",,BRD-K63792901,"10.00, 0.00","CHRM1, CHRM2, CHRM3, CHRM4"
CP,phenoxybenzamine,62.3,adrenergic receptor antagonist,"0.77, 0.15",,BRD-A67799922,"20.00, 20.00","ADRA2B, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2C, ADRB2, CALM1"
CP,HC-toxin,62.2,HDAC inhibitor,"1.55, 0.53",HDAC inhibitor,BRD-A39646320,"10.00, 10.00",HDAC1
CP,devazepide,62.13,"CCK receptor antagonist, gastrin inhibitor","1.43, 0.45",CCK receptor antagonist,BRD-K31238592,"20.00, 10.00","CCKAR, CCKBR, GAST"
CP,IB-MECA,62.1,"adenosine receptor agonist, granulocyte colony stimulating factor agonist","0.94, 0.30",,BRD-A20527803,"10.00, 0.00","ADORA3, ADORA1, ADORA2A, ADORA2B"
CP,YM-155,-65.74,"survivin inhibitor, XIAP expression inhibitor","2.30, 0.64",,BRD-K24681473,"0.00, 0.00",BIRC5
CP,terconazole,-65.74,"cell wall synthesis inhibitor, sterol demethylase inhibitor","0.58, 0.15",Sterol demethylase inhibitor,BRD-K86204871,"10.00, 10.00",
CP,3-amino-benzamide,-65.87,PARP inhibitor,"0.92, 0.16",,BRD-K08703257,"0.00, 0.00",PARP1
CP,rimcazole,-65.95,"sigma receptor antagonist, dopamine reuptake inhibitor","1.45, 0.64",,BRD-A63346720,"0.00, 0.00",SIGMAR1
CP,veratridine,-65.98,sodium channel activator,"1.07, 0.30",,BRD-K60923938,"0.00, 0.00","SCN1A, SCN3A, SCN8A, SCN9A"
CP,diphenoxylate,-66.03,opoid receptor agonist,"0.99, 0.19",,BRD-K41903098,"0.00, 0.00","OPRM1, OPRD1"
CP,flecainide,-66.04,"sodium channel blocker, sodium channel inhibitor, voltage-gated sodium channel blocker","0.55, 0.09",,BRD-A09472452,"0.00, 0.00","SCN5A, KCNA5, KCNA7, SCN4A"
CP,ciclacillin,-66.12,cell wall synthesis inhibitor,"1.22, 0.27",,BRD-K89046952,"0.00, 0.00",
CP,econazole,-66.13,"cell wall synthesis inhibitor, lanosterol demethylase inhibitor, sterol demethylase inhibitor","0.51, 0.15",Sterol demethylase inhibitor,BRD-A51820102,"0.00, 0.00","CYP51A1, NPY1R, NPY2R, TRPM2, TRPV5"
CP,tranilast,-66.16,"angiogenesis inhibitor, histamine receptor antagonist, histamine release inhibitor, indoleamine 2,3-dioxygenase activator, interferon gamma synthesis inhibitor, interleukin receptor modulator, interleukin synthesis enhancer, interleukin synthesis inhibitor, TGF beta receptor antagonist, TRPV antagonist, tumor necrosis factor production inhibitor, urate transporter inhibitor","0.76, 0.17",,BRD-K19533706,"0.00, 0.00","HPGDS, HRH1, IDO1, IFNG, IL10, IL2, IL4, SLC22A12, TGFB1, TNF, TRPV2"
CP,MAPP-D-erythro,62,ceramidase inhibitor,"1.14, 0.49",,BRD-K76274772,"20.00, 20.00",
CP,maprotiline,61.98,"norepinephrine reputake inhibitor, tricyclic antidepressant (TCA)","1.05, 0.35","Norepinephrine reuptake inhibitor, Tricyclic antidepressant",BRD-K03319035,"11.11, 0.00","SLC6A2, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR2A, HTR2C, HTR7"
CP,azelastine,61.9,"histamine receptor antagonist, histamine release inhibitor, immunosuppressant","1.81, 0.68",,BRD-A68888262,"12.50, 0.00","HRH1, CYP2C19"
CP,BRD-K26947839,61.88,NADPH oxidase inhibitor,"0.69, 0.17",,BRD-K26947839,"0.00, 0.00",NOX1
CP,scopolamine,61.68,acetylcholine receptor antagonist,"1.14, 0.47",,BRD-A14566392,"0.00, 0.00","CHRM2, CHRM1, CHRM3, CHRM4, CHRM5, SI"
CP,phentermine,61.66,"adrenergic transmitter uptake inhibitor, dopamine transmitter uptake inhibitor, serotonin uptake inhibitor","0.49, 0.08",,BRD-K96319534,"20.00, 0.00","MAOA, MAOB, SLC6A2, SLC6A3, SLC6A4"
CP,paclitaxel,61.53,"tubulin inhibitor, microtubule stabilizing agent, microtubule stimulant, P glycoprotein inhibitor, taxane","1.08, 0.30",,BRD-A23723433,"20.00, 10.00","TUBB, NR1I2, ABCB1, BCL2, CYP2C8, MAP2, MAP4, MAPT, TLR4, TUBB1"
CP,piretanide,61.48,"diuretic, glucocorticoid receptor agonist","1.20, 0.41",,BRD-K87990216,"20.00, 10.00","SLC12A1, SLC12A2"
CP,SB-225002,61.4,"CC chemokine receptor antagonist, Chemokine CXCR2  (IL-8 beta Receptor) Antagonists","1.27, 0.60",,BRD-K61323504,"10.00, 0.00",CXCR2
CP,AG-14361,61.32,PARP inhibitor,"0.64, 0.20",PARP inhibitor,BRD-K00615600,"20.00, 10.00",PARP1
CP,gefitinib,-65.26,EGFR inhibitor,"1.10, 0.50",EGFR inhibitor,BRD-K64052750,"0.00, 0.00","EGFR, CYP2C19"
CP,fluocinonide,-65.28,"corticosteroid agonist, corticosteroid hormone receptor agonist","1.74, 0.78",Glucocorticoid receptor agonist,BRD-A15297126,"0.00, 0.00","NR3C1, SERPINA6, SMO"
CP,TTNPB,-65.3,"RAR agonist, retinoid receptor agonist","0.66, 0.27",,BRD-K49685476,"0.00, 0.00","RARB, RARA, RARG"
CP,LM-1685,-65.36,cyclooxygenase inhibitor,"0.82, 0.22",,BRD-K51941867,"11.11, 0.00",PTGS2
CP,BRD-K60218670,-65.53,lipoxygenase inhibitor,"1.28, 0.23",,BRD-K60218670,"0.00, 0.00",
CP,esmolol,-65.56,adrenergic receptor antagonist,"0.56, 0.15",,BRD-A07395371,"12.50, 12.50",ADRB1
CP,pramipexole,-65.56,dopamine receptor agonist,"1.11, 0.22",,BRD-K06388322,"0.00, 0.00","DRD3, DRD2, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C"
CP,mecillinam,-65.61,cell wall synthesis inhibitor,"1.16, 0.34",,BRD-K41051431,"12.50, 12.50",
CP,U-18666A,-65.61,oxidosqualene cyclase inhibitor,"1.19, 0.26",,BRD-A81795050,"0.00, 0.00",
CP,etodolac,-65.63,"cyclooxygenase inhibitor, TRPV agonist","1.28, 0.34",,BRD-K99260425,"10.00, 10.00","PTGS2, PTGS1, RXRA, TRPV1"
CP,betahistine,61.29,"histamine receptor agonist, histamine receptor antagonist","1.58, 0.39",,BRD-K91315211,"10.00, 10.00","HRH3, HRH1"
CP,calcitriol,61.24,"vitamin D receptor agonist, hypercalcaemic agent","0.84, 0.27",Vitamin D receptor agonist,BRD-A84327315,"0.00, 0.00","VDR, CYP3A5"
CP,hymecromone,61.22,monoamine oxidase inhibitor,"0.81, 0.25",,BRD-K46424862,"0.00, 0.00",MAOA
CP,AG-494,61.18,"epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor","0.85, 0.26",,BRD-K81209512,"0.00, 0.00",EGFR
CP,ibuprofen,61.18,"cyclooxygenase inhibitor, NFkB pathway inhibitor","0.92, 0.19",,BRD-A17655518,"0.00, 0.00","PTGS2, PTGS1, ASIC1, BCL2, CFTR, CYP2C8, FABP2, PLAT, PPARG, SLC5A8, THBD"
CP,warfarin,61.18,"cytochrome P450 inhibitor, vitamin inhibitor, vitamin K epoxide reductase inhibitor","0.85, 0.22",,BRD-A24514565,"0.00, 0.00","VKORC1, CYP2C19, CYP2C8, CYP4F2"
CP,chloroxine,61.18,opioid receptor inhibitor,"1.31, 0.13",,BRD-K17075857,"0.00, 0.00",OPRK1
CP,paclitaxel,61.17,"tubulin inhibitor, microtubule stabilizing agent, microtubule stimulant, P glycoprotein inhibitor, taxane","0.64, 0.27",Tubulin inhibitor,BRD-A28746609,"20.00, 10.00","TUBB, NR1I2, ABCB1, BCL2, CYP2C8, MAP2, MAP4, MAPT, TLR4, TUBB1"
CP,niflumic-acid,61.09,cyclooxgenase inhibitor,"1.09, 0.39",,BRD-K98763141,"11.11, 11.11","CLCNKA, PTGS2, ANO1, CLCN1, CLCNKB, KCNQ1, PLA2G1B, PLA2G4A, PTGS1, UGT1A9"
CP,ibuprofen,61.03,"cyclooxygenase inhibitor, NFkB pathway inhibitor","0.76, 0.26",,BRD-K14965640,"20.00, 20.00","PTGS2, PTGS1, ASIC1, BCL2, CFTR, CYP2C8, FABP2, PLAT, PPARG, SLC5A8, THBD"
CP,CAY-10577,-64.85,casein kinase inhibitor,"1.09, 0.41",,BRD-K32836707,"10.00, 0.00",
CP,3-methyl-GABA,-64.87,GABA aminotransferase activator,"2.52, 0.88",,BRD-A62890442,"0.00, 0.00",
CP,xanthohumol,-64.91,"aromatase inhibitor, diacylglycerol O acyltransferase inhibitor, valosin containing protein inhibitor","1.35, 0.38",,BRD-K77390737,"0.00, 0.00","CYP19A1, VCP"
CP,dilazep,-64.93,"adenosine reuptake inhibitor, calcium channel antagonist, platelet aggregation inhibitor","1.32, 0.44",,BRD-K48722258,"0.00, 0.00","SLC29A1, CACNA1C"
CP,ketoconazole,-65.08,"14-alpha demethylase inhibitor, androgen receptor ligand, aromatase inhibitor, cell wall synthesis inhibitor, cortisol synthesis inhibitor, P glycoprotein inhibitor, sterol demethylase inhibitor","0.83, 0.18",Sterol demethylase inhibitor,BRD-K29113274,"0.00, 0.00","AR, CYP19A1, CYP21A2, CYP2C19, CYP3A5, CYP3A7, KCNA10"
CP,kynuramine,-65.11,aryl hydrocarbon receptor activator,"0.94, 0.28",,BRD-A31227688,"0.00, 0.00",
CP,RK-682,-65.12,"heparanase inhibitor, tyrosine phosphatase inhibitor","0.58, 0.30",,BRD-A77349281,"0.00, 0.00","HPSE, PTPN1"
CP,mycophenolic-acid,-65.19,"dehydrogenase inhibitor, immunosuppressant, IMPDH inhibitor, inosine monophosphate dehydrogenase inhibitor","0.92, 0.33",IMPDH inhibitor,BRD-K31542390,"0.00, 0.00","IMPDH1, IMPDH2"
CP,PKCbeta-inhibitor,-65.21,PKC inhibitor,"0.83, 0.27",,BRD-K89687904,"0.00, 0.00",PRKCB
CP,BRD-K57954781,-65.23,"apoptosis stimulant, DNA inhibitor","1.10, 0.58",,BRD-K57954781,"0.00, 0.00",
CP,foliosidine,60.94,anticonvulsant,"0.94, 0.30",,BRD-A49734948,"0.00, 0.00",
CP,BRD-K20168484,60.85,"lipoxygenase inhibitor, leukotriene synthesis inhibitor, PPAR receptor modulator","1.44, 0.35",,BRD-K20168484,"12.50, 0.00",ALOX5AP
CP,oxotremorine,60.84,acetylcholine receptor agonist,"1.61, 0.50",,BRD-K21936341,"11.11, 11.11","CHRM2, CHRM1, CHRM3, CHRM4"
CP,buspirone,60.77,"serotonin receptor agonist, serotonin receptor partial agonist","0.68, 0.15",,BRD-K93461745,"0.00, 0.00","HTR1A, DRD2"
CP,tyrphostin-47,60.75,"EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor","1.05, 0.30",,BRD-K96778649,"0.00, 0.00",EGFR
CP,CGS-20625,60.67,"benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist","0.89, 0.23",,BRD-K68103045,"0.00, 0.00","GABRA1, GABRA2, GABRA3, GABRA5"
CP,palonosetron,60.58,serotonin receptor antagonist,"1.28, 0.34",,BRD-K08924299,"0.00, 0.00",HTR3A
CP,honokiol,60.58,"AKT inhibitor, neurotrophic agent","1.67, 0.49",,BRD-K98493452,"0.00, 0.00","ALOX5, PTGS1, PTGS2"
CP,pyridine-2-aldoxime,60.4,acetylcholinesterase inhibitor,"1.45, 0.59",,BRD-K10016611,"11.11, 11.11","ACHE, BCHE"
CP,torin-2,60.39,mTOR inhibitor,"1.56, 0.48",MTOR inhibitor,BRD-K68174511,"20.00, 20.00",MTOR
CP,indirubin,-63.74,"CDK inhibitor, glycogen synthase kinase inhibitor, cyclin-dependent kinase inhibitor, PKC inhibitor","1.08, 0.34",,BRD-K17894950,"11.11, 11.11","CDK1, CDK5, CCNE1, CDK2, CDK4, CDK5R1, CDK9, GSK3A, GSK3B, LCK, LRRK1, LRRK2"
CP,deferiprone,-63.89,"chelating agent, cytochrome P450 inhibitor, iron absorption inhibitor, reducing agent","0.51, 0.17",,BRD-K06878038,"0.00, 0.00",CYP4F2
CP,CGP-53353,-64.11,"EGFR inhibitor, PKC inhibitor","0.67, 0.11",PKC inhibitor,BRD-K32292990,"0.00, 0.00","EGFR, PRKCB"
CP,KUC104502N,-64.18,opioid receptor antagonist,"0.95, 0.19",,BRD-K24538644,"0.00, 0.00",OPRK1
